
央视频道,#genre#
CCTV1,http://www.8239999.xyz:8188/udp/239.93.18.184:5140
CCTV2,http://www.8239999.xyz:8188/udp/239.93.19.23:6000
CCTV3,http://www.8239999.xyz:8188/udp/239.93.18.11:2223
CCTV4,http://www.8239999.xyz:8188/udp/239.93.19.105:5140
CCTV5,http://www.8239999.xyz:8188/udp/239.93.52.37:5140
CCTV6,http://www.8239999.xyz:8188/udp/239.93.18.13:2226
CCTV7,http://www.8239999.xyz:8188/udp/239.93.19.67:5140
CCTV8,http://www.8239999.xyz:8188/udp/239.93.52.39:5140
CCTV9,http://www.8239999.xyz:8188/udp/239.93.19.24:5140
CCTV10,http://www.8239999.xyz:8188/udp/239.93.19.28:5140
CCTV11,http://www.8239999.xyz:8188/udp/239.93.18.102:5140
CCTV12,http://www.8239999.xyz:8188/udp/239.93.19.30:8124
CCTV13,http://www.8239999.xyz:8188/udp/239.93.18.66:5140
CCTV14,http://www.8239999.xyz:8188/udp/239.93.19.29:6000
CCTV15,http://www.8239999.xyz:8188/udp/239.93.18.103:5140
CCTV17,http://www.8239999.xyz:8188/udp/239.93.18.92:5140
CCTV5+,http://www.8239999.xyz:8188/udp/239.93.18.36:8004
CCTV1,http://60.164.128.167:8029/rtp/239.255.30.101:8231$组播源
CCTV2,http://60.164.128.167:8029/rtp/239.255.30.179:8231$组播源
CCTV3,http://60.164.128.167:8029/rtp/239.255.29.12:8231$组播源
CCTV4,http://60.164.128.167:8029/rtp/239.255.30.83:8231$组播源
CCTV5,http://60.164.128.167:8029/rtp/239.255.29.13:8231$组播源
CCTV5+,http://60.164.128.167:8029/rtp/239.255.30.184:8231$组播源
CCTV6,http://60.164.128.167:8029/rtp/239.255.29.14:8231$组播源
CCTV7,http://60.164.128.167:8029/rtp/239.255.30.178:8231$组播源
CCTV8,http://60.164.128.167:8029/rtp/239.255.29.15:8231$组播源
CCTV9,http://60.164.128.167:8029/rtp/239.255.30.180:8231$组播源
CCTV10,http://60.164.128.167:8029/rtp/239.255.30.181:8231$组播源
CCTV11,http://60.164.128.167:8029/rtp/239.255.30.62:8231$组播源
CCTV12,http://60.164.128.167:8029/rtp/239.255.30.182:8231$组播源
CCTV13,http://60.164.128.167:8029/rtp/239.255.29.28:8231$组播源
CCTV14,http://60.164.128.167:8029/rtp/239.255.30.183:8231$组播源
CCTV15,http://60.164.128.167:8029/rtp/239.255.30.68:8231$组播源
CCTV16,http://60.164.128.167:8029/rtp/239.255.30.88:8231$组播源
CCTV17,http://60.164.128.167:8029/rtp/239.255.30.96:8231$组播源
CCTV6,http://mobilelivetimeshift.ysp.cctv.cn/timeshift/ysp/2013693901/timeshift.m3u8?delay=0&cdn=5202$订阅源
CCTV2,http://222.169.85.8:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV3,http://101.72.127.38:808/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV1,http://171.116.226.246:8082/rtp/226.0.2.16:8040
CCTV2,http://171.116.226.246:8082/rtp/226.0.2.154:9144
CCTV3,http://171.116.226.246:8082/rtp/226.0.2.208:9576
CCTV4,http://171.116.226.246:8082/rtp/226.0.2.156:9160
CCTV4,http://171.116.226.246:8082/rtp/226.0.2.21:8080
CCTV5,http://171.116.226.246:8082/rtp/226.0.2.209:9584
CCTV5+,http://171.116.226.246:8082/rtp/226.0.2.168:9256
CCTV6,http://171.116.226.246:8082/rtp/226.0.2.210:9592
CCTV7,http://171.116.226.246:8082/rtp/226.0.2.159:9184
CCTV8,http://171.116.226.246:8082/rtp/226.0.2.211:9600
CCTV10,http://171.116.226.246:8082/rtp/226.0.2.162:9208
CCTV12,http://171.116.226.246:8082/rtp/226.0.2.164:9224
CCTV13,http://171.116.226.246:8082/rtp/226.0.2.165:9232
CCTV16,http://171.116.226.246:8082/rtp/226.0.2.169:9264
CCTV17,http://171.116.226.246:8082/rtp/226.0.2.170:9272

央视咪咕频道,#genre#
CCTV1,http://kxrj.site:1333/86/mg.php?id=cctv1
CCTV2,http://kxrj.site:1333/86/mg.php?id=cctv2
CCTV3,http://kxrj.site:1333/86/mg.php?id=cctv3
CCTV4,http://kxrj.site:1333/86/mg.php?id=cctv4
CCTV5,http://kxrj.site:1333/86/mg.php?id=cctv5
CCTV5+,http://kxrj.site:1333/86/mg.php?id=cctv5p
CCTV6,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2013693901/timeshift.m3u8?delay=0&cdn=5202
CCTV6,http://kxrj.site:1333/86/mg.php?id=cctv6
CCTV7,http://kxrj.site:1333/86/mg.php?id=cctv7
CCTV8,http://kxrj.site:1333/86/mg.php?id=cctv8
CCTV9,http://kxrj.site:1333/86/mg.php?id=cctv9
CCTV10,http://kxrj.site:1333/86/mg.php?id=cctv10
CCTV11,http://kxrj.site:1333/86/mg.php?id=cctv11
